ACCOUNT_OFFICER|AREA|NAME|DEPT_PARENT
5001|Zone Centrale|Zone Centrale|6800
5002|TUNIS CENTRE|Zone TUNIS CENTRE|6800
5003|TUNIS EST|Zone TUNIS EST|6800
5004|TUNIS NORD|Zone TUNIS NORD|6800
5005|TUNIS NORD OUEST|Zone TUNIS NORD OUEST|6800
5006|TUNIS OUEST|Zone TUNIS OUEST|6800
5007|TUNIS SUD|Zone TUNIS SUD|6800
5008|BIZERTE|Zone BIZERTE|6800
5009|CAP BON|Zone CAP BON|6800
5010|CENTRE|Zone CENTRE|6800
5011|SFAX|Zone SFAX|6800
5012|SUD|Zone SUD|6800
5013|CENTRE OUEST|Zone CENTRE OUEST|6800
5014|NORD OUEST|Zone NORD OUEST|6800
5808|TUNIS CENTRE|Agence Bab Bnet|5002
5809|SUD|Agence Zarzis|5012
5810|TUNIS SUD|Agence Fouchana|5007
5812|TUNIS CENTRE|Agence Montfleury|5002
5813|CENTRE OUEST|Agence Gafsa|5013
5814|CAP BON|Agence Kelibia|5009
5816|SFAX|Agence Sfax-Ariana|5011
5819|Centrale|Agence H. Bourguiba|5001
5820|Centrale|Agence Centrale|5001
5821|TUNIS CENTRE|Agence El Jazira|5002
5822|SFAX|Agence Sfax 1|5011
5823|CENTRE|Agence Sousse|5010
5824|CAP BON|Agence Nabeul|5009
5825|BIZERTE|Agence Bizerte|5008
5826|SUD|Agence Gabes|5012
5827|TUNIS NORD|Agence El Mechtel|5004
5828|TUNIS SUD|Agence Megrine|5007
5829|CAP BON|Agence Hammamet|5009
5830|SUD|Agence Djerba H.Souk|5012
5831|CENTRE OUEST|Agence Kairouan|5013
5832|TUNIS NORD OUEST|Agence Mutu-Inter|5005
5833|CENTRE|Agence Monastir|5010
5834|TUNIS NORD|Agence La Marsa|5004
5835|NORD OUEST|Agence Beja|5014
5836|SFAX|Agence Sfax 2|5011
5837|TUNIS NORD OUEST|Agence El Menzah|5005
5838|NORD OUEST|Agence Jendouba|5014
5839|SUD|Agence Ben Guerdane|5012
5840|TUNIS NORD|Agence Le Kram|5004
5841|TUNIS EST|Agence Ariana|5003
5842|CENTRE OUEST|Agence Chorbane|5013
5843|CENTRE|Agence Khezama|5010
5844|SFAX|Agence Gremda|5011
5845|BIZERTE|Agence Metline|5008
5846|TUNIS OUEST|Agence Montplaisir|5006
5847|TUNIS OUEST|Agence Berges du Lac|5006
5848|TUNIS OUEST|Agence Le Bardo|5006
5849|SUD|Agence Tataouine|5012
5850|TUNIS EST|Agence Saadi|5003
5851|SUD|Agence Djerba Midoun|5012
5852|TUNIS EST|Agence El Manar|5003
5853|TUNIS OUEST|Agence Liberte|5006
5854|TUNIS NORD OUEST|Agence Charguia|5005
5855|SUD|Agence Jerba Guellala|5012
5856|CENTRE|Agence Mahdia|5010
5857|CENTRE|Agence Teboulba|5010
5858|CENTRE|Agence MSaken|5010
5859|TUNIS SUD|Agence El Mourouj|5007
5860|TUNIS CENTRE|Agence El Morkhadh|5002
5861|TUNIS NORD OUEST|Agence Ennasr|5005
5862|TUNIS SUD|Agence Medina Jedida|5007
5863|TUNIS NORD|Agence Aouina|5004
5864|SFAX|Agence Tina-Sfax|5011
5865|SFAX|Agence Sakiet-Ezzit|5011
5866|SFAX|Agence Menzel Chaker|5011
5867|TUNIS SUD|Agence Hammam Lif|5007
5868|SFAX|Agence Sfax Jadida|5011
5869|TUNIS OUEST|Agence Douar Hicher|5006
5870|BIZERTE|Agence Menzel Bourguiba|5008
5871|TUNIS OUEST|Agence El Agba|5006
5872|CENTRE OUEST|Agence Tozeur|5013
5874|TUNIS NORD OUEST|Agence Ettadhamen|5005
5875|TUNIS OUEST|Agence Sidi Hassine|5006
5876|TUNIS OUEST|Agence Ezzouhour|5006
5877|TUNIS OUEST|Agence Oued Ellil|5006
5878|TUNIS EST|Agence Raoued|5003
5879|CAP BON|Agence Grombalia|5009
5880|Centrale|Agence Siege|5001
5881|TUNIS OUEST|Agence Denden|5006
5882|SFAX|Agence El Ain Sfax|5011
5883|TUNIS SUD|Agence Boumhel|5007
5884|TUNIS CENTRE|Agence Sidi Bechir|5002
5885|TUNIS NORD|Agence La Goulette|5004
5886|TUNIS SUD|Agence Megrine Jawhra|5007
5887|TUNIS NORD|Agence La Marsa 2|5004
5888|TUNIS SUD|Agence Ezzahra|5007
5889|TUNIS CENTRE|Agence Ibn Sina|5002
5890|CAP BON|Agence Beni Khalled|5009
5891|TUNIS SUD|Agence Yasminet|5007
5892|TUNIS NORD OUEST|Agence Ibn Khaldoun|5005
5893|CAP BON|Agence Menzel Temime|5009
5894|CAP BON|Agence Zaghouan|5009
5895|NORD OUEST|Agence El Kef|5014
5896|TUNIS SUD|Agence Rades|5007
5897|CENTRE|Agence Kalaa Kobra|5010
5898|CAP BON|Agence Beni Khiar|5009
5899|CENTRE OUEST|Agence Sidi Bouzid|5013
5901|CENTRE OUEST|Agence KEBILI|5013
5902|SUD|Agence Medenine|5012
5903|NORD OUEST|Agence Testour|5014
5904|TUNIS SUD|Agence Ben Arous|5007
5905|SFAX|Agence Sfax Soukra|5011
5906|TUNIS OUEST|Agence Al Omrane|5006
5907|CENTRE OUEST|Agence Kasserine|5013
5908|NORD OUEST|Agence Boussalem|5014
5909|CENTRE|Agence Sahloul|5010
5910|SFAX|Agence Sakit Eddaier|5011
5911|CENTRE|Agence Jemmel|5010
5912|NORD OUEST|Agence Siliana|5014
5914|BIZERTE|Agence Mateur|5008
5915|TUNIS EST|Agence Borj Louzir|5003
5916|TUNIS EST|Agence Soukra|5003
5917|TUNIS NORD OUEST|Agence Agence EL INTILAKA|5005
5918|SUD|Agence GABES 2|5012
5919|SUD|Agence METOUIA|5012
5920|SUD|Agence MARETH|5012
5921|TUNIS EST|Agence Chotrana|5003
5922|CAP BON|Agence KORBA|5009
5923|TUNIS CENTRE|Agence ENNAJEH|5002
5924|SUD|Agence Jerba Ajim|5012
5925|TUNIS NORD OUEST|Agence Alain Savary|5005
5926|TUNIS NORD|Agence Kram Ouest|5004
5927|CENTRE|Agence Sousse Erriadh|5010
5928|CENTRE|Agence Hammam Sousse|5010
5929|CENTRE|Agence Sousse Jawhara|5010
5930|SFAX|Agence El Jem|5011
5931|TUNIS NORD OUEST|Agence Cite el Khadra|5005
5932|TUNIS SUD|Agence Mghira|5007
5933|SUD|Agence Jerba El May|5012
5934|SUD|Agence Hamma Gabes|5012
5935|SUD|Agence Gabes Chenini|5012
5936|TUNIS EST|Agence Soukra 2|5003
5937|CAP BON|Agence Menzel Bouzelfa|5009
5938|BIZERTE|Agence Ras Jbel|5008
5939|TUNIS NORD|Agence Marsa Plage|5004
5940|NORD OUEST|Agence Bourouis|5014
5941|TUNIS NORD|Agence Lac 2|5004
5942|BIZERTE|Agence Corniche Bizerte|5008
5943|NORD OUEST|Agence Teboursouk|5014
5944|NORD OUEST|Agence Makthar|5014
5945|CENTRE OUEST|Agence Metlaoui|5013
5946|TUNIS NORD|Agence Ain Zaghouan|5004
5947|SFAX|Agence Mahres|5011
5949|CENTRE OUEST|Agence GAFSA 2|5013
5950|CENTRE OUEST|Agence Feriana|5013
5953|CENTRE OUEST|Agence Douz|5013
