SECTOR_CODE|DESCRIPTION
1001|PARTICULIERS
1002|PERSONNEL ATB
1030|Tunisien Travailleur  Etranger 
1040|PERSONNEL DES ORG. INTERNATIONAUX
1050|Elect Presidentielles/Legislatives/Municipales
1099|Default Sector for Customer replication
1200|Ambassadeurs et Diplomates 
1300|PROFESSION LIBERALE
1310|ARTISAN
1320|COMMERCANT
1330|EXPLOITANT AGRICOL
1340|BUREAU DE CHANGE
1350|Profesionnels de la sante
2010|Societe prive
2011|Etablissements de Paiement
2020|Ambassade et consulat 
2030|Start up
3002|Banque centrale 
3003|Poste 
3010|Banque d'investissement et de developpement 
3020|BANQUE OFFSHORE
3030|ARAB BANK GROUP
3100|BANQUE UNIVERSELLE
3200|CORRESPONDANT
3502|Assurance 
3504|CAISSE DE SECURITE SOCIALE
3600|SICAV
3610|SICAR
3620|SICAF
3630|FCP FOND COMMUN DE PLACEMENT
3640|INTERMEDIAIRE EN BOURSE
3920|INSTITUT FINANCIER SPECIALISE
3930|SRC STE DE RECOUVREMENT DE CREANCES
3940|BOURSE DES VALEURS MOBILIERES
3950|STICODEVAM
3960|GROUPEMENT INTER.PROF ET COOPERA.
4100|COLLECTIVITE PUBLIQUE LOCALE
4200|ETABLISSEMENT PUBLIC DE SANTE
4300|ENTREPRISE PUBLIQUE
4601|Educational Institutions
4602|Associations
4603|syndic proprietaires
5999|ORGANISMES INTERNATIONAUX
9000|Others
9900|TIER
